,Unnamed: 0,sat,track_self,track_other,lons_inter,lats_inter,x_from_coast_self,x_from_coast_other,angle_acute,angle_obtuse,close_drifters_column
0,0,HY2A,26,67,92.98525243409208,9.739022681439408,694196.1725327828,1380615.1384398632,0.4774724071956474,2.6641202463941456,"['114768', '114772', '116350']"
1,1,HY2A,26,205,92.05244555146636,5.852577267643039,1136154.875889302,1776807.9572196866,0.4771505332506369,2.664442120339156,"['114773', '138408']"
2,2,HY2A,26,315,93.91788497336054,13.561281135645086,259325.5611647777,984534.7017937604,0.4777030066380188,2.663889646951774,"['114737', '114772', '116262', '116350', '138413', '300234061500010']"
3,3,HY2A,26,343,91.119781833481,1.928099026594832,1582308.7267105838,2074526.0680158967,0.4760921769929977,2.665500476596796,[]
4,4,HY2A,28,41,69.6687188904136,20.92308620777793,211257.60866859456,210839.45539110075,0.4828389287300392,2.658753724859754,[]
5,5,HY2A,28,69,66.87097556239165,9.736709096629385,1484882.5841748174,1756552.1411041133,0.4849813304410748,2.6566113231487183,"['114945', '116187', '300234060659120', '300234060659190', '300234060940960', '300234060941970', '300234060950430']"
6,6,HY2A,28,179,68.73634932611743,17.29538960041824,624625.6167564527,857331.8898852774,0.4846525283435534,2.65694012524624,"['114575', '114948', '135776', '135789']"
7,7,HY2A,28,207,65.93830418415754,5.850784235194889,1926778.694930768,2198888.356422516,0.484980528788221,2.656612124801572,"['145074', '300234060659120']"
8,8,HY2A,28,317,67.80364110913357,13.559204342547876,1049988.2753830424,1334508.4291108674,0.4851268140933136,2.6564658394964797,"['114556', '126950', '135776', '300234060659110']"
9,9,HY2A,28,345,65.00553596293693,1.9258788128740367,2372978.0849503973,2605117.259076525,0.4847049150184063,2.656887738571387,[]
10,10,HY2A,54,67,90.18759665892338,20.9252542313173,94158.9651392794,107007.24816033654,0.4813079174197875,2.6602847361700057,"['114772', '116183', '138412', '300234061500010', '300234062420040', '300234062423010', '300234062423050', '300234062423060', '300234062427010', '300234062428030']"
11,11,HY2A,54,95,87.38946226009688,9.737401570957353,1367953.345295811,1083221.098044553,0.479383268706174,2.662209384883619,"['114705', '114732', '114734', '114764', '114765', '114772', '116350', '133639', '300234060943960', '300234062423060']"
