,Unnamed: 0,sat,track_self,track_other,lons_inter,lats_inter,x_from_coast_self,x_from_coast_other,angle_acute,angle_obtuse,close_drifters_column
0,0,S3B,8,79,93.6730466239216,8.363636181789902,824470.2934537883,1523494.555621097,0.4469615563437051,2.694631097246088,"['300234065718110', '300234066311020', '300234066311120', '300234066311490', '300234066311900', '300234066312010']"
1,1,S3B,8,193,94.1407958518495,10.437154460862086,589447.8808530952,1335481.3726118028,0.4472337957487604,2.6943588578410327,"['300234065718110', '300234066310370', '300234066311020', '300234066311120', '300234066311240', '300234066311460', '300234066311490', '300234066312020', '300234066891150']"
2,2,S3B,8,307,94.6084250315676,12.49090962950384,356606.4067979872,860862.599408804,0.4457856904298536,2.6958069631599395,"['300234065606530', '300234065718060', '300234065718070', '300234065718080', '300234065718110', '300234066311240', '300234066891150']"
3,3,S3B,8,421,95.07575282165531,14.520586030924502,126424.98806512756,482909.0512753177,0.4449810064969591,2.696611647092834,"['300234065718070', '300234066310490', '300234066311020', '300234066311460']"
4,4,S3B,8,507,92.27040499045916,2.0678625336762773,1537820.9606870029,2223717.392622358,0.446911951624808,2.694680701964985,['300234065319870']
5,5,S3B,8,621,92.7378898802984,4.175299152103546,1299063.316804581,1970983.7714360207,0.4467957432104216,2.694796910379372,"['300234065319870', '300234065618120', '300234066312020']"
6,6,S3B,8,735,93.20538462060884,6.27495842491257,1061162.7444385814,1753361.5643451873,0.4469564522464931,2.6946362013433,['300234065718080']
7,7,S3B,10,81,68.42606150384992,8.36063965513958,1409454.2286858594,1914296.212064347,0.4526752960000194,2.688917357589774,"['300234065319870', '300234067209250', '300234067979180', '300534062363630', '300534062484980', '300534063317110']"
8,8,S3B,10,195,68.89380048140501,10.434183440919142,1174430.190445653,1692311.8066946294,0.452805474254266,2.688787179335528,"['300234063349960', '300234065702150', '300234067979120', '300534060257390', '300534060351160', '300534061753150', '300534062484980']"
9,9,S3B,10,309,69.36141324429046,12.48795165742467,941588.4538681912,1472828.432188832,0.4528724214813179,2.688720232108475,"['300234063349960', '300534061753150', '300534064400700', '300534064400720', '300534064401690', '300534064401710']"
10,10,S3B,10,423,69.8287271003682,14.517674357057205,711402.936674428,1061194.855599127,0.4515359932697838,2.690056660320009,"['300234066891150', '300234066899280', '300534062363340']"
11,11,S3B,10,509,67.02344877032904,2.064907017732626,2122796.9140077583,2620436.314803959,0.4526481518299541,2.688944501759839,['300234065319870']
12,12,S3B,10,537,70.29614702812506,16.521764312560293,484044.2532281402,746206.3034842099,0.4509146291694015,2.690678024420392,['300234063943900']
13,13,S3B,10,623,67.49089814716224,4.172192823926251,1884057.342083643,2388793.7147224043,0.4527009315203013,2.688891722069492,['300234065319870']
14,14,S3B,10,651,70.76359338131395,18.496702725778167,259903.01198354395,481924.1947233498,0.4506770114087517,2.690915642181041,['300234066899280']
15,15,S3B,10,737,67.9584089257348,6.271953467859478,1646146.410325935,2143889.45556399,0.4526386305273894,2.688954023062404,"['300234063349960', '300234065319870', '300234066790670', '300234066794670', '300234067209250', '300234067979120', '300534061751190']"
16,16,S3B,10,765,71.2311968980975,20.44008383927295,39244.64344971284,32676.433415198306,0.4491478267338425,2.6924448268559504,[]
17,17,S3B,12,311,44.11450034989787,12.486849724202528,14115.607141886556,14353.220331150882,0.4444868736381736,2.69710577995162,[]
