,Unnamed: 0,sat,track_self,track_other,lons_inter,lats_inter,x_from_coast_self,x_from_coast_other,angle_acute,angle_obtuse,close_drifters_column
0,0,TP+J1+J2+J3+S6A,3,66,75.1210195269844,9.811761304247316,179619.90371376715,1538449.3970695897,0.7143436743490658,2.4272489792407272,"['9619163', '12701', '34709', '57940', '59371', '59394', '63074', '81938', '98674', '98676', '114917', '114948', '135784', '300234060943960', '300234060944970', '300234064117520', '300234066891150', '300534060257390']"
1,1,TP+J1+J2+J3+S6A,3,168,72.28623797454709,1.9885434810985012,1099873.3879430746,2748301.077167768,0.7201399948798196,2.4214526587099736,[]
2,2,TP+J1+J2+J3+S6A,3,244,73.70362492079687,5.937058483784181,635750.4399160394,2301969.921004863,0.7205134194409518,2.4210792341488414,"['9711088', '10208', '12741', '27054', '53352', '54371', '57939', '59372', '3098682', '71159', '73079', '114917', '116187', '145866', '300234060073460', '300234060074440', '300234064111550', '300234065701980', '300534062363580', '300534064401710']"
3,3,TP+J1+J2+J3+S6A,5,144,48.19121149561291,13.56977777509381,48639.55828957672,48915.12872160244,0.7020753974173584,2.4395172561724348,"['9619161', '34710', '62201', '62557', '300234060942970', '300234060946960', '300234060947970', '300234063347940', '300234063354010', '300234065411500']"
4,4,TP+J1+J2+J3+S6A,27,14,93.54700040202934,5.937695357493247,1208126.793197177,1834651.3369946512,0.7174670062811763,2.424125647308617,"['9421845', '9525836', '9619810', '11357', '15709', '18734', '27051', '34377', '34704', '53349', '63037', '63926', '109519', '114768', '300234065704460', '300234065718080', '300234066312020']"
5,5,TP+J1+J2+J3+S6A,27,90,94.9643326363426,9.812391558135973,752000.4093658285,1408153.4012147365,0.7179746634403902,2.423617990149403,"['9525804', '9525836', '9815705', '18734', '34704', '34706', '53351', '59366', '63027', '71164', '81938', '114768', '114772', '116350', '147122', '147130', '300234065515480', '300234065515590', '300234065515680', '300234065718110', '300234066311020', '300234066311120', '300234066311460', '300234066311490', '300234066311900', '300234066891150', '38559', '53677']"
6,6,TP+J1+J2+J3+S6A,27,166,96.38171059960482,13.570451053410222,308502.52905136213,249160.9341981293,0.7138138309470954,2.427778822642698,"['9815705', '11356', '27051', '98670', '114737', '114768', '114772', '126942', '300234061500010', '300234065718070', '300234065718110', '300234066311020', '300234066311460', '53677']"
7,7,TP+J1+J2+J3+S6A,27,192,92.12963784429202,1.989046443724232,1672261.5620026398,2080156.55833636,0.7138516990038636,2.427740954585929,[]
8,8,TP+J1+J2+J3+S6A,29,16,65.19952449396749,5.936834518260786,1739964.5469587266,2125054.064918544,0.7305817349596173,2.411010918630176,"['9421843', '9421859', '9526389', '18869', '34312', '53365', '59363', '59365', '59366', '59368', '62555', '70697', '72633', '72634', '73076', '92630', '145074', '300234063255180', '300234063259260', '300234063944800', '300234064111550', '300234064113560', '300234065319870', '300234065412430', '300234065700980', '300234066610000']"
9,9,TP+J1+J2+J3+S6A,29,66,70.8689221682644,20.60666664842472,5230.042207036925,259865.21055584188,0.7280587694748409,2.413533884114952,"['53363', '116463', '145876', '88671']"
10,10,TP+J1+J2+J3+S6A,29,92,66.61683105235024,9.811322066196702,1283863.2154401655,1840199.0936663863,0.7341073311510629,2.4074853224387303,"['9421946', '9719835', '9730559', '13583', '20321', '34211', '59371', '9820356', '45748', '59369', '92626', '92627', '114945', '116187', '300234060659120', '300234060659190', '300234060940960', '300234060941970', '300234060950430', '300234063259180', '300234063259200', '300234063259240', '300234063259260', '300234063349960', '300234064115630', '300234066790670', '300234066794670', '300234067979120', '300234067979180', '300534061751160', '300534061751190', '300534062363410', '300534062484980', '300534063317110', '88651']"
11,11,TP+J1+J2+J3+S6A,29,168,68.03418681486406,13.569205686645187,840386.2624987301,1384641.254301407,0.7338550900055949,2.407737563584198,"['9526400', '9619162', '9619163', '9719834', '9729774', '10207', '11089', '12701', '12739', '12741', '15706', '15707', '34714', '34721', '34722', '34723', '57940', '59371', '59372', '75137', '81938', '81996', '98672', '98675', '114556', '114917', '114945', '126950', '135776', '147144', '147145', '300234060659110', '300234063258880', '300234063259200', '300234063259240', '300234063349960', '300234063945480', '300234064115630', '300234064117520']"
12,12,TP+J1+J2+J3+S6A,29,194,63.78218282691208,1.9884713906811788,2204066.349817578,1991889.328443221,0.7202198903703914,2.4213727632194018,[]
13,13,TP+J1+J2+J3+S6A,29,244,69.45154400223582,17.17605110652384,413265.7575375314,975305.9236020998,0.734228514566727,2.4073641390230662,"['9619157', '9719829', '12739', '20371', '53363', '59371', '3098682', '59394', '71159', '81996', '98673', '98674', '114575', '135776', '135780', '135789', '147144', '300234063349960', '300234064115560', '300234064115630', '300234064115640', '300234065702140', '54017']"
