,gu,ve
0,,-0.08351750000000001
1,0.07785094482466243,-0.23104999999999998
2,,0.051657499999999995
3,,-0.0831
4,-0.041241524194463426,0.0513
5,,0.25871750000000004
6,,0.052099999999999994
7,,-0.17387750000000002
8,,0.039384999999999996
9,,-0.0681175
10,-0.031202067261298337,0.10827999999999999
11,0.045712964298860695,0.3434075
12,,0.0532325
13,-0.1944544343926776,-0.1591825
14,,0.013855
15,,0.2281875
16,,0.4878525
17,,-0.29050750000000003
18,-0.10199121195753111,-0.19999250000000002
19,,-0.05059
20,,-0.02081249999999999
21,,-0.033675
22,-0.04899061158493934,-0.173545
23,,0.3024925
24,,0.3427675
25,,0.246485
26,,-0.4836025
27,0.07234585505938759,0.21525500000000003
28,-0.01795922404349497,-0.223495
29,0.0416644151979263,0.017767500000000002
30,,0.22286250000000002
31,0.11981975347267515,-0.2734325
