,gu,ve
0,-0.023320278877778162,-0.0025974999999999956
1,,-0.0217425
2,,-0.007297500000000002
3,,0.26311
4,0.1773394166810246,
5,,-0.42735
6,,0.1803975
7,,-0.085965
8,0.21393042234570028,0.2368925
9,,-0.7045874999999999
10,,0.1047975
11,,-0.11202999999999999
12,,-0.5032625
13,,0.419505
14,,0.41143749999999996
15,0.02837138733087937,0.35142000000000007
16,0.15333516028420932,0.2264375
17,,0.07862
18,,0.321405
19,,-0.0038650000000000004
20,,-0.39674250000000005
21,,0.2229675
22,,-0.2777675
23,,-0.0690925
24,,0.0819425
25,,0.046445
26,,0.296575
27,,-0.07692249999999999
28,,0.35711000000000004
29,,0.013009999999999999
30,,-0.005387500000000002
31,,0.017797499999999997
32,,0.11135
33,,0.1970525
34,-0.04871860537349336,-0.070625
35,,0.151955
36,,-0.057339999999999995
37,,0.0726425
38,,0.36841250000000003
39,,-0.055675
40,,0.18961250000000002
41,,-0.1116925
42,,-0.0981025
43,,-0.12121250000000001
44,,0.0418875
45,,0.09577000000000001
46,,-0.315675
47,,-0.1694875
48,,-0.0911575
49,,0.24983250000000004
50,,-0.31896
51,,-0.3049475
52,,-0.043149999999999994
53,,0.0335825
54,,-0.35731749999999995
55,,-0.6323599999999999
56,,0.36302500000000004
57,,-0.32831499999999997
58,,-0.308255
59,,-0.44055750000000005
60,,0.26625
61,0.19010681895800166,-0.039675
62,,-0.4673075
63,,-0.30663749999999995
64,,-0.1278575
65,,0.1237525
66,,-0.22098999999999996
67,,0.2330275
68,,0.12758999999999998
69,,0.475035
70,,0.045872500000000004
71,,0.054430000000000006
72,,-0.257095
73,,0.4439375
74,,0.80101
75,,-0.2521975
76,,-0.23359999999999997
77,,-0.1933225
78,,-0.2628025
79,,-0.7464449999999999
80,,-0.5777125
81,,-0.37307999999999997
82,,-0.018932499999999998
83,,-0.132405
84,,-0.2940975
85,0.003418115312329429,0.017717499999999997
86,,-0.1474725
87,,-0.1127075
88,,0.11651
89,,0.267375
90,,0.43807250000000003
91,,-0.39835
92,,-0.6878749999999999
93,,1.164215
94,,0.298645
95,,0.31259
96,0.05477645444986059,0.3610225
97,,0.15986749999999997
98,,-0.4345525
99,,0.0157025
100,,-0.4448975
101,,0.368845
102,,0.23314000000000001
103,,-0.1516875
104,,0.31234
105,,0.3154875
106,0.5444454179177527,0.82263
107,0.6310309866843122,0.67411
108,-0.04970953398404358,0.199315
109,,-0.293465
110,,-0.185715
111,-0.37709443894121114,-0.8879724999999998
112,,-0.10044
113,-0.09189957717625746,-0.25999249999999996
114,,0.015735000000000002
115,,-0.25566
116,,-0.0361625
117,,0.09900250000000001
118,,-0.0437325
119,,0.08223749999999999
120,,0.07290999999999999
121,,-0.025582499999999998
122,0.061951019539223384,0.010365000000000003
123,,0.08048499999999999
124,0.003579029590676037,-0.18500500000000003
125,,0.2365525
126,,0.1467125
127,,0.021787499999999998
128,,0.068765
129,-0.001865684608738114,0.10493
130,,-0.3179175
131,,0.5374099999999999
132,,0.47642249999999997
133,,0.0706275
134,,0.11140499999999999
135,,-0.017702500000000003
136,,0.1471025
137,0.042847238162371945,0.07743749999999999
138,-0.0035910158506273337,-0.00045999999999999925
139,0.010734414768666288,0.21529500000000001
140,,0.059887499999999996
141,,-0.09204
142,,0.25633
143,,-0.1645025
144,-0.008756954486326468,0.17237
145,,-0.0903425
146,,0.0691625
147,-0.02819632835751799,-0.1490475
148,,0.1847075
149,,0.27673
150,,0.1259425
151,,-0.032735
152,,0.3214875
153,,-0.2289875
154,,0.26178500000000005
155,,0.24053249999999998
156,,0.3195975
157,,0.0354575
158,,-0.0209575
159,,-0.22857499999999997
160,,0.13767000000000001
161,,0.13436
162,,-0.0828225
163,,0.41745750000000004
164,,0.41818
165,,0.19832
166,,-0.11162249999999999
167,-0.2749742332746457,-0.658025
168,,0.2939575
169,,-0.050714999999999996
170,,-0.1318225
171,,-0.181495
172,,-0.21539
173,,0.22986
174,,0.0235725
175,,0.22808250000000002
176,,0.265095
177,,0.2129875
178,,0.0967925
179,,0.006712499999999999
180,,-0.211155
181,0.01309376842950128,0.038474999999999995
182,,0.2271475
183,,0.22913
184,,0.32027249999999996
185,-0.04125226688551754,-0.11132249999999999
186,,-0.1488025
187,,0.04676
188,,-0.3504475
189,,-0.0358925
190,,-0.211145
191,,0.1355
192,,0.27919
193,,0.059864999999999995
194,,0.23104
195,,-0.0434875
196,,0.38766
197,,-0.1565175
198,,0.0101775
199,,-0.285755
200,0.08773754874973157,0.21416749999999998
201,-0.04154991505999777,-0.073045
202,,-0.06034
203,0.020959737185799382,0.14123000000000002
204,0.1657436976901729,0.255915
205,,0.0829525
206,,0.4975225
207,,0.033502500000000004
208,0.04049823539219399,0.2891925
209,,0.1174325
210,,-0.053895
211,,0.177865
212,,0.2293325
213,,0.232715
214,,0.07818
215,,0.1827525
216,,0.0465225
217,,-0.12184
218,,0.426025
219,,0.2374675
220,0.043524254190878645,0.232695
221,-0.039948821723272035,-0.005004999999999999
222,,0.0368025
223,,0.299715
224,,-0.17157250000000002
225,,0.379555
226,,-0.033525
227,,0.057370000000000004
228,,-0.12286749999999999
229,,-0.19292
230,,0.0444875
231,,0.0014475000000000009
232,,0.100685
233,,-0.4524325
234,,-0.022115
235,,0.307815
236,,0.12919250000000002
237,-0.03173710005004644,-0.1723575
238,,0.1577
239,,-0.05733250000000001
240,,0.07584750000000001
241,-0.2869952589111146,-0.50127
242,,-0.22447499999999998
243,,0.4254825
244,,-0.1668375
245,,0.22452499999999997
246,-0.028659268492441,-0.200275
247,,0.369645
248,,0.01632
249,,0.024600000000000004
250,,-0.1535275
251,,-0.050455
252,,0.623815
253,,-0.1357
254,,-0.25488999999999995
255,,-0.1146175
256,,-0.51315
257,,-0.16321249999999998
258,,-0.4900525
259,,0.229625
260,,-0.3361075
261,,-0.22258750000000002
262,,-0.22669250000000002
263,-0.11970406354495608,0.3123275
264,-0.10711019873999823,-0.198585
265,,-0.4753425
266,,-0.0021475
267,,-0.48982499999999995
268,,0.8051775
269,,0.31999
270,,0.4521575
271,,-1.1349974999999999
272,,-0.836205
273,,0.14314
274,,0.21547750000000002
275,-0.17322480470131407,0.1217575
276,,-0.56613
277,,-0.365745
278,,-0.21600999999999998
279,,0.2917875
280,0.16542856748023207,0.5792025
281,0.089775064979779,-0.012635000000000002
282,,0.5630575
283,,-0.4201975
284,-0.23117505868591734,-0.5118425
285,-0.03678238206909847,-0.40615
